Location,Labor Force,Employment,Unemployment,Rate
Massachusetts,3752500,3549000,203500,5.4
Abington,9461,8864,597,6.3
Acton,12746,12283,463,3.6
Acushnet,6177,5830,347,5.6
Adams,4084,3765,319,7.8
Agawam,15818,14947,871,5.5
Alford,237,232,5,2.1
Amesbury,10497,10047,450,4.3
Amherst,18674,17833,841,4.5
Andover,18773,17994,779,4.1
Aquinnah,236,227,9,3.8
Arlington,27195,26155,1040,3.8
Ashburnham,3683,3479,204,5.5
Ashby,1939,1846,93,4.8
Ashfield,1111,1079,32,2.9
Ashland,10678,10226,452,4.2
Athol,5796,5454,342,5.9
Attleborough,25420,24079,1341,5.3
Auburn,9474,8994,480,5.1
Avon,2757,2612,145,5.3
Ayer,4368,4131,237,5.4
Barnstable,26359,24926,1433,5.4
Barre,2963,2788,175,5.9
Becket,908,840,68,7.5
Bedford,7296,6947,349,4.8
Belchertown,8500,8118,382,4.5
Bellingham,10476,9991,485,4.6
Belmont,14052,13461,591,4.2
Berkley,3811,3598,213,5.6
Berlin,1965,1887,78,4
Bernardston,1236,1156,80,6.5
Beverly,22938,21868,1070,4.7
Billerica,24552,23434,1118,4.6
Blackstone,5474,5149,325,5.9
Blandford,758,712,46,6.1
Bolton,3097,2969,128,4.1
Boston,393895,371759,22136,5.6
Bourne,11636,10973,663,5.7
Boxborough,3332,3196,136,4.1
Boxford,4468,4312,156,3.5
Boylston,2772,2657,115,4.1
Braintree,20887,19777,1110,5.3
Brewster,5621,5369,252,4.5
Bridgewater,15078,14326,752,5
Brimfield,2214,2089,125,5.6
Brockton,49253,45044,4209,8.5
Brookfield,1891,1785,106,5.6
Brookline,33322,32165,1157,3.5
Buckland,951,898,53,5.6
Burlington,16291,15580,711,4.4
Cambridge,71511,69013,2498,3.5
Canton,12716,12069,647,5.1
Carlisle,2586,2492,94,3.6
Carver,6799,6452,347,5.1
Charlemont,636,601,35,5.5
Charlton,8074,7617,457,5.7
Chatham,3149,2999,150,4.8
Chelmsford,19619,18763,856,4.4
Chelsea,20684,19341,1343,6.5
Cheshire,1824,1748,76,4.2
Chester,735,693,42,5.7
Chesterfield,746,715,31,4.2
Chicopee,27324,25338,1986,7.3
