,DoneDateMonthYear,ProgramCode,NumServices,Month
0,Jan-2016,BD,1,January
1,Jan-2016,D,47,January
2,Feb-2016,BD,1,February
3,Feb-2016,D,40,February
4,Feb-2016,WT,8,February
5,Mar-2016,AD,15,March
6,Mar-2016,B14,19,March
7,Mar-2016,B21,720,March
8,Mar-2016,B28,30,March
9,Mar-2016,BCO,3,March
10,Mar-2016,BTI,1,March
11,Mar-2016,D,18,March
12,Mar-2016,M21,1,March
13,Mar-2016,ORT,3,March
14,Mar-2016,R,1,March
15,Mar-2016,T14,1,March
16,Mar-2016,T21,48,March
17,Mar-2016,T28,2,March
18,Mar-2016,YNG,2,March
19,Apr-2016,AD,20,April
20,Apr-2016,B14,21,April
21,Apr-2016,B21,863,April
22,Apr-2016,B28,48,April
23,Apr-2016,BC,5,April
24,Apr-2016,BCO,2,April
25,Apr-2016,BTI,7,April
26,Apr-2016,COM,1,April
27,Apr-2016,D,11,April
28,Apr-2016,DTH,1,April
29,Apr-2016,FZ1,124,April
30,Apr-2016,M14,4,April
31,Apr-2016,M21,35,April
32,Apr-2016,M28,2,April
33,Apr-2016,MS,96,April
34,Apr-2016,ORT,2,April
35,Apr-2016,R,1,April
36,Apr-2016,ST,35,April
37,Apr-2016,T14,1,April
38,Apr-2016,T21,70,April
39,Apr-2016,T28,2,April
40,Apr-2016,TD,24,April
41,Apr-2016,WM,2,April
42,May-2016,AD,28,May
43,May-2016,B14,30,May
44,May-2016,B21,1189,May
45,May-2016,B28,60,May
46,May-2016,BC,5,May
47,May-2016,BCO,8,May
48,May-2016,BD,2,May
49,May-2016,BTI,9,May
50,May-2016,CA,5,May
51,May-2016,D,13,May
52,May-2016,DTH,2,May
53,May-2016,ES,3,May
54,May-2016,FZ1,148,May
55,May-2016,FZ2,6,May
56,May-2016,LAB,5,May
57,May-2016,M14,7,May
58,May-2016,M21,42,May
59,May-2016,M28,1,May
60,May-2016,MBT,1,May
61,May-2016,MMM,3,May
62,May-2016,MS,122,May
63,May-2016,ORT,2,May
64,May-2016,OS,11,May
65,May-2016,R,2,May
66,May-2016,SCA,1,May
67,May-2016,ST,78,May
68,May-2016,T14,1,May
69,May-2016,T21,79,May
70,May-2016,T28,1,May
71,May-2016,TD,84,May
72,May-2016,WM,11,May
73,May-2016,YNG,1,May
74,Jun-2016,AD,62,June
75,Jun-2016,ANT,3,June
76,Jun-2016,B14,61,June
77,Jun-2016,B21,2248,June
78,Jun-2016,B28,101,June
79,Jun-2016,BC,10,June
80,Jun-2016,BCO,18,June
81,Jun-2016,BD,1,June
82,Jun-2016,BTI,23,June
83,Jun-2016,CA,3,June
84,Jun-2016,COM,3,June
85,Jun-2016,D,29,June
86,Jun-2016,ES,17,June
87,Jun-2016,FZ1,17,June
88,Jun-2016,FZ2,152,June
89,Jun-2016,LAB,3,June
90,Jun-2016,M14,11,June
91,Jun-2016,M21,94,June
92,Jun-2016,M28,3,June
93,Jun-2016,MMM,11,June
94,Jun-2016,MS,24,June
95,Jun-2016,ORT,1,June
96,Jun-2016,OS,4,June
97,Jun-2016,R,2,June
98,Jun-2016,ST,18,June
99,Jun-2016,T14,2,June
100,Jun-2016,T21,133,June
101,Jun-2016,T28,5,June
102,Jun-2016,TD,32,June
103,Jun-2016,WM,25,June
104,Jun-2016,YNG,5,June
105,Jul-2016,AD,52,July
106,Jul-2016,ANT,2,July
107,Jul-2016,B14,55,July
108,Jul-2016,B21,2170,July
109,Jul-2016,B28,86,July
110,Jul-2016,BC,6,July
111,Jul-2016,BCO,17,July
112,Jul-2016,BD,1,July
113,Jul-2016,BTI,18,July
114,Jul-2016,COM,1,July
115,Jul-2016,D,18,July
116,Jul-2016,ES,5,July
117,Jul-2016,FZ2,25,July
118,Jul-2016,FZ3,112,July
119,Jul-2016,LAB,1,July
120,Jul-2016,M14,13,July
121,Jul-2016,M21,77,July
122,Jul-2016,M28,2,July
123,Jul-2016,MBT,1,July
124,Jul-2016,MMM,8,July
125,Jul-2016,R,2,July
126,Jul-2016,ST,2,July
127,Jul-2016,T14,2,July
128,Jul-2016,T21,131,July
129,Jul-2016,T28,6,July
130,Jul-2016,WM,11,July
131,Jul-2016,YNG,4,July
132,Aug-2016,AD,38,August
133,Aug-2016,ANT,3,August
134,Aug-2016,B14,56,August
135,Aug-2016,B21,1782,August
136,Aug-2016,B28,73,August
137,Aug-2016,BC,8,August
138,Aug-2016,BCO,18,August
139,Aug-2016,BTI,15,August
140,Aug-2016,CA,59,August
141,Aug-2016,COM,1,August
142,Aug-2016,D,22,August
143,Aug-2016,DC,2,August
144,Aug-2016,DTH,1,August
145,Aug-2016,ES,2,August
