DoneDateFormatted,Precipitation,AllRev,TickRev,TurfRev,DayOfWeekNum,DayOfWeekName
2021-03-01,0.15,0.0,0.0,0.0,0,Monday
2021-03-02,0.0,0.0,0.0,0.0,1,Tuesday
2021-03-03,0.0,6202.0,6202.0,0.0,2,Wednesday
2021-03-04,0.0,8662.0,8662.0,0.0,3,Thursday
2021-03-05,0.0,0.0,0.0,0.0,4,Friday
2021-03-06,0.0,0.0,0.0,0.0,5,Saturday
2021-03-07,0.0,0.0,0.0,0.0,6,Sunday
2021-03-08,0.0,0.0,0.0,0.0,0,Monday
2021-03-09,0.0,13889.0,13889.0,0.0,1,Tuesday
2021-03-10,0.0,8821.0,8821.0,0.0,2,Wednesday
2021-03-11,0.0,4092.0,4092.0,0.0,3,Thursday
2021-03-12,0.0,893.0,893.0,0.0,4,Friday
2021-03-13,0.0,4487.0,4487.0,0.0,5,Saturday
2021-03-14,0.0,0.0,0.0,0.0,6,Sunday
2021-03-15,0.0,0.0,0.0,0.0,0,Monday
2021-03-16,0.0,9452.0,9452.0,0.0,1,Tuesday
2021-03-17,0.0,16165.3,16165.3,0.0,2,Wednesday
2021-03-18,0.0,14593.0,14593.0,0.0,3,Thursday
2021-03-19,0.72,10049.0,10049.0,0.0,4,Friday
2021-03-20,0.0,646.0,646.0,0.0,5,Saturday
2021-03-21,0.0,0.0,0.0,0.0,6,Sunday
2021-03-22,0.0,18427.0,18427.0,0.0,0,Monday
2021-03-23,0.0,20138.0,20138.0,0.0,1,Tuesday
2021-03-24,0.0,17927.0,17927.0,0.0,2,Wednesday
2021-03-25,0.1,19969.0,19969.0,0.0,3,Thursday
2021-03-26,0.0,790.0,790.0,0.0,4,Friday
2021-03-27,0.0,4341.0,4341.0,0.0,5,Saturday
2021-03-28,0.0,0.0,0.0,0.0,6,Sunday
2021-03-29,0.8,21545.0,21545.0,0.0,0,Monday
2021-03-30,0.0,12997.0,12997.0,0.0,1,Tuesday
2021-03-31,0.0,19303.0,9874.0,9429.0,2,Wednesday
2021-04-01,1.02,15012.0,10403.0,4609.0,3,Thursday
2021-04-02,0.0,26171.0,17937.0,8234.0,4,Friday
2021-04-03,0.0,8056.0,1027.0,7029.0,5,Saturday
2021-04-04,0.0,0.0,0.0,0.0,6,Sunday
2021-04-05,0.0,25648.0,17209.0,8439.0,0,Monday
2021-04-06,0.0,20040.0,11191.0,8849.0,1,Tuesday
